marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,timestamp,IP Address
US,20422322,R8MEA6IGAHO0B,B00MC4CED8,82850235,BlackVue DR600GW-PMP,Mobile_Electronics,5,0,0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",8/31/2015,1440987567,193.93.167.87
US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,82850235,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0,1,N,Y,five star,it's great,8/31/2015,1441001998,193.93.167.87
US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0,0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,8/31/2015,1440959483,193.93.167.87
US,4332923,RRB9C05HDOD4O,B00QUFTPV4,82850235,abcGoodefg® FBI Covert Acoustic Tube Earpiece Headset PTT Mic for Motorola Two Way Radio Device Walkie Talkie GP88 300 2000 CT150 P040 PRO1150 SP10 XTN500 2pin,Mobile_Electronics,4,0,0,N,Y,Work very well,Work very well ,8/31/2015,1441015251,193.93.167.87
US,44855305,R26I2RI1GFV8QG,B0067XVNTG,563475445,"Generic Car Dashboard Video Camera Vehicle Video Accident Recorder (2.0"" 1080P)",Mobile_Electronics,2,0,0,N,Y,Cameras has battery issues,"Be careful with these products, I have bought several of these cameras and the image is pretty decent but battery doesn't hold any charge!!!!",8/31/2015,1440973308,205.10.168.66
US,7846966,RY8DDL22YG4R5,B00KA6CCVY,563475445,Aweek® Air Acoustic Earpiece Headset for Baofeng Two Way Radios UV-5R UV-B6 BF-888S UV-B6 UV-B5 Walkie Talkies 2-Pin Jack,Mobile_Electronics,3,0,1,N,Y,"It appears to be good, but I'm still waiting for my other items ...","It appears to be good, but I'm still waiting for my other items radio,batteries,charger, before I can go to 4 or 5 stars",8/31/2015,1440977588,205.10.168.66
US,21299354,R2AT2426ZHFUHH,B00MJCDPM2,563475445,Sentey LS-4460 B-Trek S8 Bluetooth Portable Stereo Speaker (Black),Mobile_Electronics,3,0,1,N,Y,Didn't love the first one,"First one arrived as a brick.  Wouldn't work, wouldn't charge, useless.  Exchanged for a new one that works as advertised.",8/31/2015,1441033322,205.10.168.66
US,20422322,R8MEA6IGAHO0B,B00MC4CED8,563475445,BlackVue DR600GW-PMP,Mobile_Electronics,5,0,0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",8/31/2015,1441012613,205.10.168.66
US,20422322,R8MEA6IGAHO0B,B00MC4CED8,217304173,BlackVue DR600GW-PMP,Mobile_Electronics,5,0,0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",8/31/2015,1440987567,206.33.134.174
US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0,1,N,Y,five star,it's great,8/31/2015,1441001998,219.3.75.180
US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0,0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,8/31/2015,1440959483,194.12.14.67
US,4332923,RRB9C05HDOD4O,B00QUFTPV4,221169481,abcGoodefg® FBI Covert Acoustic Tube Earpiece Headset PTT Mic for Motorola Two Way Radio Device Walkie Talkie GP88 300 2000 CT150 P040 PRO1150 SP10 XTN500 2pin,Mobile_Electronics,4,0,0,N,Y,Work very well but couldn't get used to not hearing ...,Work very well but couldn't get used to not hearing anything out of the ear they v were plugged into.,8/31/2015,1441015251,213.136.76.172
US,44855305,R26I2RI1GFV8QG,B0067XVNTG,563475445,"Generic Car Dashboard Video Camera Vehicle Video Accident Recorder (2.0"" 1080P)",Mobile_Electronics,2,0,0,N,Y,Cameras has battery issues,"Be careful with these products, I have bought several of these cameras and the image is pretty decent but battery doesn't hold any charge!!!!",8/31/2015,1440973308,197.113.158.177
US,7846966,RY8DDL22YG4R5,B00KA6CCVY,713636156,Aweek® Air Acoustic Earpiece Headset for Baofeng Two Way Radios UV-5R UV-B6 BF-888S UV-B6 UV-B5 Walkie Talkies 2-Pin Jack,Mobile_Electronics,3,0,1,N,Y,"It appears to be good, but I'm still waiting for my other items ...","It appears to be good, but I'm still waiting for my other items radio,batteries,charger, before I can go to 4 or 5 stars",8/31/2015,1440977588,194.20.111.181
US,21299354,R2AT2426ZHFUHH,B00MJCDPM2,754171872,Sentey LS-4460 B-Trek S8 Bluetooth Portable Stereo Speaker (Black),Mobile_Electronics,3,0,1,N,Y,Didn't love the first one,"First one arrived as a brick.  Wouldn't work, wouldn't charge, useless.  Exchanged for a new one that works as advertised.",8/31/2015,1441033322,214.101.70.31
US,28902968,R3RRXU2R23NMQ9,B00ET5AWBY,508373185,iPad Car Headrest Mount Holder for iPad 2/ iPad 3/ iPad 4 with Long Mounting Strap,Mobile_Electronics,5,0,0,N,Y,Five Stars,Worked great for vacation,8/31/2015,1441012613,219.123.29.237
US,2074438,R250PR8VJUZ62F,B00Z9K379C,759387370,"ANWING Waterproof Wireless Bluetooth Speaker Outdoor and Shower Bluetooth Louder Speaker NFC, Sky Blue",Mobile_Electronics,4,0,2,N,Y,Four Stars,"this is a very good item, it provide me the sound that i like..",8/31/2015,1441001330,200.89.172.214
US,48701722,RBEMQ29WJBHYG,B00YO3UYXW,913911909,Jensen MCR-100 Cassette Player/Recorder 1 Touch Recording with Headphone Jack & Aux Line-in,Mobile_Electronics,5,164,168,N,Y,I LOVE my recorder,"I LOVE my recorder. Bought it obviously because I have tape cassette's with no way to play them.<br />Spent an AMAZING afternoon, listening to my Mom (who passed away in 2005), tell a 90 minute Christmas story of &#34;Nicholas&#34;,  to my two daughters, many moons ago.  It was a wonderful afternoon of laughter and tears.<br />I thank you, for providing me, the time to spend an afternoon with my Mom again... :)",8/31/2015,1440979584,200.126.20.68
US,2990247,R19VVIUT4BZCMT,B011W26BU2,938399424,"Bluetooth Speakers, SoundPal Cube F1 5 Watt Bluetooth Speaker Compatible with all Bluetooth Devices",Mobile_Electronics,5,2,2,N,Y,Five Stars,"Great sound great battery beach, work, park, anywhere battery lasts",8/31/2015,1440995607,214.28.87.69
US,52946117,R1DT8JJUQHUKUL,B00H8PI78C,661515294,15Pcs DC 5V 85dB 2 Pins Industrial Active Electronic Alarm Buzzer,Mobile_Electronics,3,0,1,N,Y,"More of a beeper than a buzzer - good part, bad listing","If what you want is a continuous tone piezo - i.e. a &#34;beeper&#34; - then this one would get 5  or maybe 4 stars.  (Possibly dock one star because it's a bit quiet for the rated sound level.)  However, if what you wanted was the thing described in the listing - i.e. a *buzzer*, for example something that would make the sound you get if you answer incorrectly on a game show &#34;bzzzzt&#34; - then it's 3 stars at best.  This is the 3rd batch of &#34;buzzers&#34; I've ordered from different suppliers so this is not an isolated incident.  Anyone need some beepers, cheap?",8/31/2015,1441017039,196.35.98.228
US,49359994,RLIL6S9OGM3YA,B00M49C6MK,91176851,Sentey Ls 4162,Mobile_Electronics,5,0,0,N,Y,Five Stars,Love it,8/31/2015,1440999611,220.119.172.142
US,4158732,R34EZZ68VYPHO0,B011Q291PK,891142775,"IcePACK 8 Can Insulated Cooler Speaker System Bag with Built-In Speaker and Amplifier System - Works With Beer , Soda , Gatorade , Juice Boxes and More Drinks",Mobile_Electronics,1,1,1,N,Y,One Star,Sucks,8/31/2015,1440961088,217.122.116.86
US,18944032,R3TZNSOXS13SIG,B00W6OLUGQ,577462547,"DTK® AMI MDI MMI Adapter 8-PIN Lightning Cable Connect iPod iPhone 5 ,5S, iPhone 6, iPhone 6 plus iPad to Audi A4 A5 S5 A6 A8 Q7 / Vw Jetta GTI GLI Jetta Passat Cc Tiguan Touareg EOS / Skoda Superb Octavia Fabia / Seat 2009-2013",Mobile_Electronics,2,1,3,N,Y,Two Stars,u need to plug in both,8/31/2015,1441025072,223.73.108.197
US,279606,R12UBZT87UX3AP,B008MY1F8W,680240984,INPA K+CAN K+DCAN Car Diagnostic tool Cable OBD USB Interface for BMW R56 E87 E93 E70,Mobile_Electronics,5,2,2,N,Y,Five Stars,Worked with MHD Flasher for Android.  Used to flash performance tunes to BMW 135i/335i N54 engines.,8/31/2015,1440961489,207.212.248.90
US,10947966,R5KCRE927NYMU,B00KW3XNUE,219920841,Magicfly Wireless RF Item Locator Key Finder 1 RF Transmitter and 6 Receivers,Mobile_Electronics,2,0,0,N,N,Battery Cover Poor Quality,"Just arrived,  read instructions and attacked my #1 to key chain. Installed battery but for the life of me, was unable to CLOSE the cap. 100 times and still no go. #1 is out and apparently is broken. Tried #2 and did mange to close the cap. Have not tried #3 or #4 yet. Surely they can make a quality cover for the device. Thinking of returning the item and look for better quality battery cover. The font on the instructions are  too tiny to read, sure you can afford a larger print. No phone number or web address to contact for a replacement of #1. Hmmm...maybe you KNEW you had an inferior battery cover and  didn't care to deal with the complaints!",8/31/2015,1440988495,215.7.199.46
US,18387442,RT12RQFU0V2AX,B009NGR0AK,254898339,Humminbird XNT 9 28 T Transom Mount Single/Dual Beam Transducer,Mobile_Electronics,5,1,1,N,Y,Works great.,I bought this unit as a replacement for my portable fish finder. Works great as did the original. I replaced it because the original was accidentally damaged.,8/31/2015,1441017087,212.10.36.167
US,48950322,R2K0YQPV5W2SJ1,B011W26BU2,938399424,"Bluetooth Speakers, SoundPal Cube F1 5 Watt Bluetooth Speaker Compatible with all Bluetooth Devices",Mobile_Electronics,4,2,2,N,Y,A Lot of Sound In a Little Package!,"I am giving the speakers a test drive as I write this review. I am deeply impressed by the sound quality of this little box. The high end is really nice. The bass is somewhat lacking, but, I didn't expect room-shaking bass anyway. These are a keeper!!!",8/31/2015,1440982001,217.232.39.78
